HS4,HS4 Description
3818,"CHEMICAL ELEMENTS DOPED FOR USE IN ELECTRONICS, IN THE FORM OF DISCS, WAFERS OR SIMILAR FORMS; CHEMICAL COMPOUNDS DOPED FOR USE IN ELECTRONICS"
3819,"HYDRAULIC BRAKE FLUIDS AND PREPARED LIQUIDS FOR HYDRAULIC TRANSMISSION, WITH LESS THAN 70% (IF ANY) BY WEIGHT OF PETROLEUM OR BITUMINOUS MINERAL OILS"
3820,ANTIFREEZING PREPARATIONS AND PREPARED DEICING FLUIDS
3821,PREPARED CULTURE MEDIA FOR DEVELOPMENT OF MICROORGANISMS
3822,"COMPOSITE DIAGNOSTIC OR LABORATORY REAGENTS, OTHER THAN PHARMACEUTICAL PREPARATIONS OF HEADING 3002 OR 3006"
3823,INDUSTRIAL MONOCARBOXYLIC FATTY ACIDS; ACID OILS FROM REFINING; INDUSTRIAL FATTY ALCOHOLS
3824,"BINDERS MADE FOR FOUNDRY MOLDS OR CORES; CHEMICAL PRODUCTS AND PREPARATIONS, INCLUDING RESIDUAL PRODUCTS, OF THE CHEMICAL OR ALLIED INDUSTRIES, NESOI"
3825,"RESIDUAL PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES, NESOI; MUNICIPAL WASTE; SEWAGE SLUDGE; OTHER WASTE SPECIFIED IN NOTE 6 TO THIS CHAPTER"
3826,"BIODIESEL AND MIXTURES THEREOF, NOT CONTAINING OR CONTAINING LESS THAN 70% BY WEIGHT OF PETROLEUM OILS OR OILS OBTAINED FROM BITUMINOUS MINERALS"
3827,"MIXTURES CONTAINING HALOGENATED DERIVATIVES OF METHANE, ETHANE OR PROPANE, NOT ELSEWHERE SPECIFIED OR INCLUDED"
3901,"POLYMERS OF ETHYLENE, IN PRIMARY FORMS"
3902,"POLYMERS OF PROPYLENE OR OF OTHER OLEFINS, IN PRIMARY FORMS"
3903,"POLYMERS OF STYRENE, IN PRIMARY FORMS"
3904,"POLYMERS OF VINYL CHLORIDE OR OF OTHER HALOGENATED OLEFINS, IN PRIMARY FORMS"
3905,"POLYMERS OF VINYL ACETATE OR OF OTHER VINYL ESTERS, IN PRIMARY FORMS; VINYL POLYMERS NESOI, IN PRIMARY FORMS"
3906,"ACRYLIC POLYMERS, IN PRIMARY FORMS"
3907,"POLYACETALS, OTHER POLYETHERS AND EPOXIDE RESINS, IN PRIMARY FORMS; POLYCARBONATES, ALKYDS, POLYALLYL ESTERS AND OTHER POLYESTERS, IN PRIMARY FORMS"
3908,"POLYAMIDES, IN PRIMARY FORMS"
3909,"AMINO-RESINS, PHENOLIC RESINS AND POLYURETHANES, IN PRIMARY FORMS"
3910,"SILICONES, IN PRIMARY FORMS"
3911,"PETROLEUM RESINS, COUMARONE-INDENE RESINS, POLYTERPENES, POLYSULFIDES, POLYSULFONES AND OTHER SPECIFIC SYNTHETIC POLYMERS NESOI, IN PRIMARY FORMS"
3912,"CELLULOSE AND ITS CHEMICAL DERIVATIVES NESOI, IN PRIMARY FORMS"
3913,"NATURAL POLYMERS AND MODIFIED NATURAL POLYMERS (INCLUDING HARDENED PROTEINS AND CHEMICAL DERIVATIVES OF NATURAL RUBBER), NESOI, IN PRIMARY FORMS"
3914,"ION-EXCHANGERS BASED ON POLYMERS OF NATURAL OR SYNTHETIC PLASTICS MATERIALS, IN PRIMARY FORMS"
3915,"WASTE, PARINGS AND SCRAP, OF PLASTICS"
3916,"MONOFILAMENT WITH A CROSS-SECTIONAL DIMENSION OVER 1 MM, RODS, STICKS AND PROFILE SHAPES, NOT MORE THAN SURFACE-WORKED, OF PLASTICS"
3917,"TUBES, PIPES AND HOSES, AND FITTINGS THEREFOR (INCLUDING JOINTS, ELBOWS AND FLANGES), OF PLASTICS"
3918,"FLOOR COVERINGS, IN ROLLS OR TILES, OF PLASTICS; WALL OR CEILING COVERINGS, IN ROLLS NOT UNDER 45 CM (18 IN.) IN WIDTH, OF PLASTICS"
3919,"SELF-ADHESIVE PLATES, SHEETS, FILM, FOIL, TAPE AND OTHER FLAT SHAPES, OF PLASTICS"
3920,"PLATES, SHEETS, FILM, FOIL AND STRIP, EXCEPT SELF-ADHESIVE, OF PLASTICS, NON-CELLULAR, NOT REINFORCED, LAMINATED ETC. OR COMBINED WITH OTHER MATERIALS"
3921,"PLATES, SHEETS, FILM, FOIL AND STRIP NESOI, OF PLASTICS"
3922,"BATHS, SHOWER BATHS, SINKS, WASHBASINS, BIDETS, LAVATORY PANS, SEATS AND COVERS, FLUSHING CISTERNS AND SIMILAR SANITARY WARE, OF PLASTICS"
3923,"ARTICLES FOR THE CONVEYANCE OR PACKING OF GOODS, OF PLASTICS; STOPPERS, LIDS, CAPS AND OTHER CLOSURES, OF PLASTICS"
3924,"TABLEWARE, KITCHENWARE, OTHER HOUSEHOLD ARTICLES AND TOILET ARTICLES OF PLASTICS"
3925,"BUILDERS' WARE OF PLASTICS, NESOI"
3926,"ARTICLES OF PLASTICS AND ARTICLES OF POLYMERS AND RESINS OF HEADINGS 3901 TO 3914, NESOI"
4001,"NATURAL RUBBER, BALATA, GUTTA-PERCHA, GUAYULE, CHICLE AND SIMILAR NATURAL GUMS, IN PRIMARY FORMS OR IN PLATES, SHEETS OR STRIP"
4002,"SYNTHETIC RUBBER AND FACTICE IN PRIMARY FORMS ETC.; MIXTURES OF NATURAL RUBBER OR GUMS WITH SYNTHETIC RUBBER OR FACTICE, IN PRIMARY FORMS ETC."
4003,"RECLAIMED RUBBER IN PRIMARY FORMS OR IN PLATES, SHEETS OR STRIP"
4004,"WASTE, PARINGS AND SCRAP OF RUBBER (OTHER THAN HARD RUBBER) AND POWDERS AND GRANULES OBTAINED THEREFROM"
4005,"COMPOUNDED RUBBER, UNVULCANIZED, IN PRIMARY FORMS OR IN PLATES, SHEETS OR STRIP"
4006,"RODS, TUBES, PROFILE SHAPES AND OTHER FORMS NESOI, OF UNVULCANIZED RUBBER; ARTICLES (INCLUDING DISCS AND RINGS) OF UNVULCANIZED RUBBER"
4007,VULCANIZED RUBBER THREAD AND CORD
4008,"PLATES, SHEETS, STRIP, RODS AND PROFILE SHAPES OF VULCANIZED RUBBER OTHER THAN HARD RUBBER"
4009,"TUBES, PIPES AND HOSES, OF UNHARDENED VULCANIZED RUBBER"
4010,"CONVEYOR OR TRANSMISSION BELTS OR BELTING, OF VULCANIZED RUBBER"
4011,"NEW PNEUMATIC TIRES, OF RUBBER"
4012,"RETREADED OR USED PNEUMATIC TIRES OF RUBBER; SOLID OR CUSHION TIRES, TIRE TREADS AND TIRE FLAPS, OF RUBBER"
4013,"INNER TUBES FOR TIRES, OF RUBBER"
4014,"HYGIENIC OR PHARMACEUTICAL ARTICLES, OF UNHARDENED VULCANIZED RUBBER, WITH OR WITHOUT FITTINGS OF HARDENED RUBBER"
4015,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES (INCLUDING GLOVES, MITTENS AND MITTS), FOR ALL PURPOSES, OF UNHARDENED VULCANIZED RUBBER"
4016,"ARTICLES NESOI, OF UNHARDENED VULCANIZED RUBBER"
4017,"HARD RUBBER (FOR EXAMPLE, EBONITE) IN ALL FORMS, INCLUDING WASTE AND SCRAP; ARTICLES OF HARD RUBBER"
4101,"RAW HIDES AND SKINS OF BOVINE OR EQUINE ANIMALS (FRESH OR PRESERVED, BUT NOT TANNED OR FURTHER PREPARED), WHETHER OR NOT DEHAIRED OR SPLIT"
4102,"RAW SKINS OF SHEEP OR LAMBS, OTHER THAN ASTRAKHAN, BROADTAIL, CARACUL OR SIMILAR SKINS (FRESH OR PRESERVED, BUT NOT TANNED OR FURTHER PREPARED)"
4103,"RAW HIDES AND SKINS NESOI (FRESH OR PRESERVED, BUT NOT TANNED OR FURTHER PREPARED), WHETHER OR NOT DEHAIRED OR SPLIT"
4104,"TANNED OR CRUST HIDES/SKINS OF BOVINE (INC. BUFFALO) OR EQUINE ANIMALS, WITHOUT HAIR ON WHETHER/NOT SPLIT, NT FURT PREPED, NES"
4105,"TANNED OR CRUST SKINS OF SHEEP OR LAMB, WITHOUT WOOL ON, WHETHER OR NOT SPLIT, BUT NOT FURTHER PREPARED, NESOI"
4106,"TANNED OR CRUST HIDES OF OTHER ANIMALS, WITHOUT HAIR ON, WHETHER OR NOT SPLIT, BUT NOT FURTHER PREPARED, NESOI"
4107,"LEATHER FURTHER PREPED AFTER TANNING/CRUSTING, INCD PARCHMENT-DRESSED LTHR OF BOVINE/EQUINE ANIMALS, NESOI, WITHOUT HAIR ON, WHETHER/NOT SPLIT,NES"
4108,CHAMOIS (INCLUDING COMBINATION CHAMOIS) LEATHER
4109,PATENT LEATHER AND PATENT LAMINATED LEATHER; METALLIZED LEATHER
4110,"PARINGS AND OTHER WASTE OF LEATHER OR OF COMPOSITION LEATHER, NOT SUITABLE FOR THE MANUFACTURE OF LEATHER ARTICLES; LEATHER DUST, POWDER AND FLOUR"
4111,"COMPOSITION LEATHER WITH A BASIS OF LEATHER OR LEATHER FIBER, IN SLABS, SHEETS OR STRIP, WHETHER OR NOT IN ROLLS"
4112,"SHEEP/LAMB LEATHER FURTHER PERPARED AFTER TANNING/CRUSTING, INCLUDING PARCHEMENT-DRESSED LEATHER, W/O WOOL ON, WHR NT SPLIT, NT HD 414"
4113,"LEATHER FURTHER PREPED AFTER TANNING/CRUSTING, INCLUDING PARCHEMENT-DRESSED LEATHER, OF OTHER ANIMALS, W/O WOOL/ HAIR ON, WHETHER/ NT SPLIT,NT HD 4114"
4114,CHAMOIS (INCLUDING COMBINATION CHAMOIS) LEATHER; PATENT LEATHER & PATENT LAMINATED LEATHER; METALLIZED LEATHER
4115,"COMPOSITE LEATHER W/BAS OF LTHR/FIBR IN SLAB/SHT/STP WHTR/NT IN ROLLS,PARING & WRK OF LTHR, NT SUT. FOR MANUFT OF ARTCL; LTHR DUST/PWD/FLR"
4201,"SADDLERY AND HARNESS FOR ANY ANIMAL (INCLUDING TRACES, LEADS, KNEE PADS, MUZZLES, SADDLE CLOTHS, SADDLE BAGS, DOG COATS AND THE LIKE), OF ANY MATERIAL"
4202,"TRAVEL GOODS, VANITY CASES, BINOCULAR AND CAMERA CASES, HANDBAGS, WALLETS, CUTLERY CASES AND SIMILAR CONTAINERS, OF VARIOUS SPECIFIED MATERIALS"
4203,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, OF LEATHER OR COMPOSITION LEATHER"
4204,ARTICLES OF LEATHER OR COMPOSITION LEATHER USED IN MACHINERY OR MECHANICAL APPLIANCES OR FOR OTHER TECHNICAL USES
4205,"ARTICLES OF LEATHER OR COMPOSITION LEATHER, NESOI"
4206,"ARTICLES OF GUT (OTHER THAN SILKWORM GUT), OF GOLDBEATER'S SKIN, OF BLADDERS OR OF TENDONS"
4301,"RAW FURSKINS NESOI (OTHER THAN RAW HIDES AND SKINS USUALLY USED FOR LEATHER), INCLUDING HEADS, TAILS AND PIECES OR CUTTINGS SUITABLE FOR FURRIERS' USE"
4302,"TANNED OR DRESSED FURSKINS (INCLUDING HEADS, TAILS AND OTHER PIECES OR CUTTINGS), WHETHER OR NOT ASSEMBLED"
4303,"ARTICLES OF APPAREL, CLOTHING ACCESSORIES AND OTHER ARTICLES OF FURSKIN"
4304,ARTIFICIAL FUR AND ARTICLES THEREOF
4401,"FUEL WOOD IN LOGS, FAGGOTS ETC.; WOOD IN CHIPS OR PARTICLES; SAWDUST AND WOOD SCRAP, WHETHER OR NOT AGGLOMERATED IN LOGS, BRIQUETTES OR OTHER FORMS"
4402,"WOOD CHARCOAL (INCLUDING SHELL OR NUT CHARCOAL), WHETHER OR NOT AGGLOMERATED"
4403,"WOOD IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED"
4404,"HOOPWOOD; SPLIT POLES; PILES, PICKETS AND STAKES OF WOOD, POINTED; ROUGHLY TRIMMED WOODEN STICKS FOR WALKING-STICKS, ETC.; CHIPWOOD AND THE LIKE"
4405,WOOD WOOL (EXCELSIOR); WOOD FLOUR
4406,RAILWAY OR TRAMWAY SLEEPERS (CROSS-TIES) OF WOOD
4407,"WOOD SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, MORE THAN 6 MM (.236 IN.) THICK"
4408,"VENEER SHEETS AND SHEETS FOR PLYWOOD AND OTHER WOOD SAWN LENGTHWISE, SLICED OR PEELED, NOT MORE THAN 6 MM (.236 IN.) THICK"
4409,"WOOD, CONTINUOUSLY SHAPED (TONGUED, GROOVED, MOLDED, ETC.) ALONG ANY OF ITS EDGES OR FACES"
4410,PARTICLE BOARD AND SIMILAR BOARD OF WOOD OR OTHER LIGNEOUS MATERIALS
4411,FIBERBOARD OF WOOD OR OTHER LIGNEOUS MATERIALS
4412,"PLYWOOD, VENEERED PANELS AND SIMILAR LAMINATED WOOD"
4413,"DENSIFIED WOOD, IN BLOCKS, PLATES, STRIPS OR PROFILE SHAPES"
4414,"WOODEN FRAMES FOR PAINTINGS, PHOTOGRAPHS, MIRRORS OR SIMILAR OBJECTS"
4415,"PACKING CASES, CRATES, DRUMS AND SIMILAR PACKINGS OF WOOD; CABLE-DRUMS OF WOOD; PALLETS AND OTHER LOAD BOARDS OF WOOD; PALLET COLLARS OF WOOD"
4416,"CASKS, BARRELS, VATS, TUBS AND OTHER COOPERS' PRODUCTS AND PARTS THEREOF, OF WOOD, INCLUDING STAVES"
4417,"TOOLS, TOOL BODIES, TOOL HANDLES, BROOM OR BRUSH BODIES AND HANDLES, OF WOOD; BOOT OR SHOE LASTS AND TREES OF WOOD"
4418,"BUILDERS' JOINERY AND CARPENTRY OF WOOD, INCLUDING CELLULAR WOOD PANELS, ASSEMBLED PARQUET PANELS, SHINGLES AND SHAKES"
4419,"TABLEWARE AND KITCHENWARE, OF WOOD"
4420,"WOOD MARQUETRY AND INLAID WOOD; CASES ETC. FOR JEWELRY OR CUTLERY AND SIMILAR ARTICLES, STATUETTES AND OTHER ORNAMENTS, OF WOOD; WOOD FURNITURE NESOI"
4421,"ARTICLES OF WOOD, NESOI"
4501,"NATURAL CORK, RAW OR SIMPLY PREPARED; WASTE CORK; CRUSHED, GRANULATED OR GROUND CORK"
4502,"NATURAL CORK, DEBACKED OR ROUGHLY SQUARED, OR RECTANGULAR (OR SQUARE) BLOCKS, PLATES, SHEETS OR STRIP, AND SHARP-EDGED BLANKS FOR CORKS OR STOPPERS"
4503,ARTICLES OF NATURAL CORK
4504,AGGLOMERATED CORK AND ARTICLES THEREOF
4601,"PLAITS AND SIMILAR PRODUCTS OF PLAITING MATERIALS; PLAITING MATERIALS ETC. BOUND IN STRANDS OR WOVEN IN SHEETS, WHETHER OR NOT BEING FINISHED ARTICLES"
4602,"BASKETWORK, WICKERWORK AND OTHER ARTICLES, MADE DIRECTLY TO SHAPE FROM PLAITING MATERIALS OR FROM PRODUCTS OF PLAITING MATERIALS; ARTICLES OF LOOFAH"
4701,MECHANICAL WOODPULP
4702,"CHEMICAL WOODPULP, DISSOLVING GRADES"
4703,"CHEMICAL WOODPULP, SODA OR SULFATE, OTHER THAN DISSOLVING GRADES"
4704,"CHEMICAL WOODPULP, SULFITE, OTHER THAN DISSOLVING GRADES"
4705,WOOD PULP OBTAINIED BY A COMBINATION OF MECHANICAL AND CHEMICAL PULPING PROCESSES
4706,PULPS OF FIBERS DERIVED FROM RECOVERED (WASTE AND SCRAP) PAPER OR PAPERBOARD OR FROM OTHER CELLULOSIC MATERIAL
4707,WASTE AND SCRAP OF PAPER OR PAPERBOARD
4801,"NEWSPRINT, IN ROLLS OR SHEETS"
4802,"PAPER AND PAPERBOARD, UNCOATED, FOR WRITING, PRINTING ETC., PUNCH CARD STOCK AND PUNCH TAPE PAPER, IN ROLLS OR SHEETS; HANDMADE PAPER AND PAPERBOARD"
4803,"TOILET, FACIAL TISSUE, TOWEL OR NAPKIN STOCK AND SIMILAR PAPER, CELLULOSE FIBER WADDING AND WEBS, IN ROLLS OR SHEETS OVER"
4804,"KRAFT PAPER AND PAPERBOARD, UNCOATED, NESOI, IN ROLLS OR SHEETS"
4805,"PAPER AND PAPERBOARD, UNCOATED, NESOI, IN ROLLS OR SHEETS, NOT FURTHER WORKED OR PROCESSED THAN AS SPECIFIED IN NOTE 2 TO CHAPTER 48"
4806,"VEGETABLE PARCHMENT, GREASEPROOF PAPERS, TRACING PAPERS, GLASSINE AND OTHER GLAZED TRANSPARENT OR TRANSLUCENT PAPERS, IN ROLLS OR SHEETS"
4807,"COMPOSITE PAPER AND PAPERBOARD (MADE BY STICKING FLAT LAYERS TOGETHER WITH AN ADHESIVE), NOT SURFACE-COATED OR IMPREGNATED, IN ROLLS OR SHEETS"
4808,"PAPER AND PAPERBOARD, CORRUGATED, CREPED, CRINKLED, EMBOSSED OR PERFORATED, NESOI, IN ROLLS OR SHEETS"
4809,"CARBON PAPER, SELF-COPY PAPER AND OTHER COPYING OR TRANSFER PAPERS, WHETHER OR NOT PRINTED, IN ROLLS OR SHEETS"
4810,"PAPER AND PAPERBOARD, COATED ON ONE OR BOTH SIDES WITH KAOLIN (CHINA CLAY) OR OTHER INORGANIC SUBSTANCES (WITH NO OTHER COATING), IN ROLLS OR SHEETS"
4811,"PAPER, PAPERBOARD, CELLULOSE WADDING AND WEBS, COATED, IMPREGNATED, SURFACE-COLORED, SURFACE-DECORATED OR PRINTED, NESOI, IN ROLLS OR SHEETS"
4812,"FILTER BLOCKS, SLABS AND PLATES, OF PAPER PULP"
4813,"CIGARETTE PAPER, WHETHER OR NOT CUT TO SIZE OR IN THE FORM OF BOOKLETS OR TUBES"
4814,WALLPAPER AND SIMILAR WALLCOVERINGS; WINDOW TRANSPARENCIES OF PAPER
4815,"FLOOR COVERINGS ON A BASE OF PAPER OR OF PAPERBOARD, WHETHER OR NOT CUT TO SIZE"
4816,"CARBON PAPER, SELF-COPY PAPER AND OTHER COPYING OR TRANSFER PAPERS, NESOI (NOT OVER 36 CM WIDE), DUPLICATOR STENCILS AND OFFSET PLATES OF PAPER"
4817,"ENVELOPES, LETTER CARDS, POSTCARDS, ETC. OF PAPER OR PAPERBOARD; BOXES, WALLETS ETC. OF PAPER OR PAPERBOARD, WITH AN ASSORTMENT OF PAPER STATIONARY"
4818,"TOILET PAPER, TOWELS AND SIMILAR HOUSEHOLD, SANITARY OR HOSPITAL ARTICLES, ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, OF PAPER, PULP, WADDING ETC"
4819,"CARTONS, BAGS AND OTHER PACKING CONTAINERS OF PAPER, PAPERBOARD, CELLULOSE WADDING ETC.; OFFICE BOX FILES, LETTER TRAYS, ETC. OF PAPER OR PAPERBOARD"
4820,"REGISTERS, NOTE BOOKS, LETTER PADS AND SIMILAR ARTICLES, BLOTTING PADS, BINDERS, FOLDERS AND OTHER ARTICLES OF STATIONARY, OF PAPER OR PAPERBOARD"
4821,"LABELS OF ALL KINDS, OF PAPER OR PAPERBOARD, WHETHER OR NOT PRINTED"
4822,"BOBBINS, SPOOLS, COPS AND SIMILAR SUPPORTS OF PAPER PULP, PAPER OR PAPERBOARD"
4823,"PAPER, PAPERBOARD, CELLULOSE WADDING AND WEBS, CUT TO SIZE OR SHAPE NESOI; ARTICLES OF PAPER PULP, PAPER, PAPERBOARD, CELLULOSE WADDING OR WEBS NESOI"
4901,"PRINTED BOOKS, BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER"
4902,"NEWSPAPERS, JOURNALS AND PERIODICALS, WHETHER OR NOT ILLUSTRATED OR CONTAINING ADVERTISING MATERIAL"
4903,"CHILDREN'S PICTURE, DRAWING OR COLORING BOOKS"
4904,"MUSIC, PRINTED OR IN MANUSCRIPT, WHETHER OR NOT BOUND OR ILLUSTRATED"
4905,"MAPS AND HYDROGRAPHIC OR SIMILAR CHARTS OF ALL KINDS, INCLUDING ATLASES, WALL MAPS, TOPOGRAPHICAL PLANS AND GLOBES, PRINTED"
4906,"PLANS AND DRAWINGS FOR ARCHITECTURAL, ENGINEERING, INDUSTRIAL, COMMERCIAL, TOPOGRAPHICAL OR SIMILAR PURPOSES, ORIGINALS AND SPECIFIC REPRODUCTIONS"
4907,"UNUSED POSTAGE, REVENUE OR SIMILAR STAMPS OF CURRENT OR NEW ISSUE IN THE COUNTRY IN WHICH THEY HAVE, OR WILL HAVE, A RECOGNISED FACE VALUE"
4908,"TRANSFERS (DECALCOMANIAS, EXCEPT TOY)"
4909,"PRINTED OR ILLUSTRATED POST CARDS, GREETING CARDS, MESSAGES OR ANNOUNCEMENTS, WITH OR WITHOUT ENVELOPES OR TRIMMINGS"
4910,"CALENDARS OF ANY KIND, PRINTED, INCLUDING CALENDAR BLOCKS"
4911,"PRINTED MATTER NESOI, INCLUDING PRINTED PICTURES AND PHOTOGRAPHS"
5001,SILKWORM COCOONS SUITABLE FOR REELING
5002,RAW SILK (NOT THROWN)
5003,"SILK WASTE (INCLUDING COCOONS UNSUITABLE FOR REELING, YARN WASTE AND GARNETTED STOCK)"
5004,SILK YARN (OTHER THAN SPUN FROM SILK WASTE) NOT PUT UP FOR RETAIL SALE
5005,"YARN SPUN FROM SILK WASTE, NOT PUT UP FOR RETAIL SALE"
5006,"SILK YARN AND YARN SPUN FROM SILK WASTE, PUT UP FOR RETAIL SALE; SILK WORM GUT"
5007,WOVEN FABRICS OF SILK OR SILK WASTE
5101,"WOOL, NOT CARDED OR COMBED"
5102,"FINE OR COARSE ANIMAL HAIR, NOT CARDED OR COMBED"
5103,"WASTE OF WOOL OR OF FINE OR COARSE ANIMAL HAIR, INCLUDING YARN WASTE BUT EXCLUDING GARNETTED STOCK"
5104,GARNETTED STOCK OF WOOL OR OF FINE OR COARSE ANIMAL HAIR
5105,"WOOL AND FINE OR COARSE ANIMAL HAIR, CARDED OR COMBED"
5106,"YARN OF CARDED WOOL, NOT PUT UP FOR RETAIL SALE"
5107,"YARN OF COMBED WOOL, NOT PUT UP FOR RETAIL SALE"
5108,"YARN OF FINE ANIMAL HAIR (CARDED OR COMBED), NOT PUT UP FOR RETAIL SALE"
5109,"YARN OF WOOL OR FINE ANIMAL HAIR, PUT UP FOR RETAIL SALE"
5110,"YARN OF COARSE ANIMAL HAIR OR OF HORSEHAIR (INCLUDING GIMPED HORSEHAIR YARN), WHETHER OR NOT PUT UP FOR RETAIL SALE"
5111,WOVEN FABRICS OF CARDED WOOL OR CARDED FINE ANIMAL HAIR
5112,WOVEN FABRICS OF COMBED WOOL OR COMBED FINE ANIMAL HAIR
5113,WOVEN FABRICS OF COARSE ANIMAL HAIR OR HORSEHAIR
5201,"COTTON, NOT CARDED OR COMBED"
5202,COTTON WASTE (INCLUDING YARN WASTE AND GARNETTED STOCK)
5203,"COTTON, CARDED OR COMBED"
5204,"COTTON SEWING THREAD, WHETHER OR NOT PUT UP FOR RETAIL SALE"
5205,"COTTON YARN (OTHER THAN SEWING THREAD), CONTAINING 85% (BY WT.) OR MORE COTTON, NOT PUT UP FOR RETAIL SALE"
5206,"COTTON YARN (OTHER THAN SEWING THREAD), CONTAINING LESS THAN 85% (BY WT.) COTTON, NOT PUT UP FOR RETAIL SALE"
5207,COTTON YARN (OTHER THAN SEWING THREAD) PUT UP FOR RETAIL SALE
5208,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE COTTON BY WEIGHT, WEIGHING NOT MORE THAN 200 G/M2"
5209,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE COTTON BY WEIGHT, WEIGHING MORE THAN 200 G/M2"
5210,"WOVEN FABRICS OF COTTON, CONTAINING LESS THAN 85% COTTON BY WEIGHT, MIXED MAINLY OR SOLELY WITH MANMADE FIBERS, WEIGHING NOT MORE THAN 200 G/M2"
5211,"WOVEN FABRICS OF COTTON, CONTAINING LESS THAN 85% COTTON BY WEIGHT, MIXED MAINLY OR SOLELY WITH MANMADE FIBERS, WEIGHING MORE THAN 200 G/M2"
5212,"WOVEN FABRICS OF COTTON (CONTAINING LESS THAN 85% COTTON BY WEIGHT, MIXED MAINLY OR SOLELY WITH OTHER THAN MANMADE FIBERS) NESOI"
5301,"FLAX, RAW OR PROCESSED BUT NOT SPUN; FLAX TOW AND WASTE (INCLUDING YARN WASTE AND GARNETTED STOCK)"
5302,"TRUE HEMP (CANNABIS SATIVA L.), RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF TRUE HEMP (INCLUDING YARN WASTE AND GARNETTED STOCK)"
5303,"JUTE AND OTHER TEXTILE BAST FIBERS NESOI, RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF THESE FIBERS (INCLUDING YARN WASTE AND GARNETTED STOCK)"
5304,"SISAL AND OTHER TEXTILE FIBERS OF THE GENUS AGAVE, RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF THESE FIBERS (ALSO YARN WASTE AND GARNETTED STOCK)"
5305,"COCONUT, ABACA (MANILLA HEMP), RAMIE AND VEGETABLE TEXTILE FIBERS NESOI, RAW ETC. BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBERS"
5306,FLAX YARN
5307,"YARN OF JUTE OR OTHER TEXTILE BAST FIBERS NESOI (EXCLUDING FLAX, TRUE HEMP AND RAMIE)"
5308,YARN OF VEGETABLE TEXTILE FIBERS NESOI; PAPER YARN
5309,WOVEN FABRICS OF FLAX
5310,"WOVEN FABRICS OF JUTE OR OF OTHER TEXTILE BAST FIBERS NESOI (EXCLUDING FLAX, TRUE HEMP AND RAMIE)"
5311,"WOVEN FABRICS OF VEGETABLE TEXTILE FIBERS, NESOI; WOVEN FABRICS OF PAPER YARN"
5401,"SEWING THREAD OF MANMADE FILAMENTS, WHETHER OR NOT PUT UP FOR RETAIL SALE"
5402,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENTS OF LESS THAN 67 DECITEX"
5403,"ARTIFICIAL FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING ARTIFICIAL MONOFILAMENTS OF LESS THAN 67 DECITEX"
5404,"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE, WITH NO CROSS-SECTIONAL DIMENSION OVER 1 MM; STRIP ETC. OF SYNTHETIC TEXTILES NOT OVER 5 MM IN WIDTH"
5405,"ARTIFICIAL MONOFILAMENT OF 67 DECITEX OR MORE, WITH NO CROSS-SECTIONAL DIMENSION OVER 1 MM; STRIP ETC. OF ARTIFICIAL TEXTILE NOT OVER 5 MM IN WIDTH"
5406,"MANMADE FILAMENT YARN (OTHER THAN SEWING THREAD), PUT UP FOR RETAIL SALE"
5407,"WOVEN FABRICS OF SYNTHETIC FILAMENT YARN, INCLUDING THOSE OF MONOFILAMENTS 67 DECITEX OR MORE, NOT OVER 1 MM CROSS-SECTION AND OF STRIP NOT OVER 5 MM"
5408,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING THOSE OF MONOFILAMENTS 67 DECITEX OR MORE, NOT OVER 1 MM CROSS-SECTION AND OF STRIP NOT OVER 5 MM"
5501,SYNTHETIC FILAMENT TOW
5502,ARTIFICIAL FILAMENT TOW
5503,"SYNTHETIC STAPLE FIBERS, NOT CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING"
5504,"ARTIFICIAL STAPLE FIBERS, NOT CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING"
5505,"WASTE OF MANMADE FIBERS (INCLUDING NOILS, YARN WASTE AND GARNETTED STOCK)"
5506,"SYNTHETIC STAPLE FIBERS, CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING"
5507,"ARTIFICAL STAPLE FIBERS, CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING"
